autumn,spring,code,winter,summer
28,0,AA 100,0,0
0,0,AA 115N,0,0
13,0,AA 116Q,0,0
1,0,AA 190,4,0
11,3,AA 199,3,0
0,39,AA 200,0,0
0,0,AA 201A,0,0
0,4,AA 201B,0,0
0,0,AA 202,0,0
0,24,AA 203,0,0
0,0,AA 206,0,0
0,0,AA 208,0,0
51,0,AA 210A,0,0
0,0,AA 210B,0,0
0,0,AA 212,11,0
9,0,AA 214A,0,0
0,0,AA 214B,24,0
0,6,AA 214C,0,0
0,0,AA 215A,6,0
0,0,AA 215B,0,0
0,0,AA 218,0,0
0,29,AA 222,0,0
30,0,AA 228,0,0
0,0,AA 229,13,0
18,0,AA 236A,0,0
0,0,AA 236B,17,0
0,8,AA 236C,0,0
53,0,AA 240A,0,0
0,0,AA 240B,22,0
21,0,AA 241A,0,0
0,0,AA 241B,10,0
0,28,AA 241X,0,0
65,0,AA 242A,0,0
0,0,AA 242B,0,0
0,0,AA 244A,15,0
0,13,AA 244B,0,0
0,0,AA 250,12,0
0,0,AA 251,0,0
0,15,AA 252,0,0
0,20,AA 256,0,0
0,0,AA 260,0,0
7,0,AA 270,0,0
0,19,AA 271A,0,0
0,7,AA 271B,0,0
0,14,AA 272C,0,0
0,0,AA 279A,20,0
0,7,AA 279B,0,0
0,16,AA 280,0,0
0,0,AA 283,57,0
0,0,AA 284A,0,0
0,0,AA 284B,0,0
0,0,AA 284C,0,0
36,39,AA 290,36,1
3,0,AA 291,0,4
0,19,AA 294,0,0
0,0,AA 295,0,0
0,0,AA 297,0,0
0,0,AA 300,0,0
52,52,AA 301,57,1
1,0,AA 801,1,0
35,40,AA 802,39,0
0,0,BIOE 10N,0,0
0,14,BIOE 32Q,0,0
0,0,BIOE 36Q,0,0
0,0,BIOE 41,68,0
0,17,BIOE 42,0,0
86,0,BIOE 44,0,0
0,73,BIOE 51,0,0
0,15,BIOE 70Q,0,0
0,78,BIOE 80,0,0
38,0,BIOE 101,0,0
0,28,BIOE 103,0,0
0,5,BIOE 103B,0,0
0,0,BIOE 115,0,0
0,28,BIOE 122,0,0
0,0,BIOE 123,28,0
0,82,BIOE 131,0,0
23,0,BIOE 141A,0,0
0,0,BIOE 141B,46,0
19,21,BIOE 191,21,1
1,1,BIOE 191X,1,0
0,11,BIOE 196,12,0
0,3,BIOE 201C,0,0
8,0,BIOE 210,0,0
0,0,BIOE 211,3,0
0,3,BIOE 212,0,0
28,0,BIOE 214,0,0
0,0,BIOE 215,0,0
0,0,BIOE 220,10,0
0,0,BIOE 221,0,0
14,0,BIOE 222,0,0
0,0,BIOE 223,0,0
0,0,BIOE 224,13,0
5,0,BIOE 225,0,0
0,0,BIOE 226,2,0
0,0,BIOE 227,0,0
0,4,BIOE 229,0,0
0,10,BIOE 231,0,0
0,0,BIOE 236,0,0
0,14,BIOE 244,0,0
0,1,BIOE 253,0,0
0,30,BIOE 260,0,0
0,0,BIOE 261,0,0
39,0,BIOE 273,0,0
0,0,BIOE 280,0,0
0,0,BIOE 281,10,0
9,0,BIOE 283,0,0
0,0,BIOE 284B,0,0
0,6,BIOE 287,0,0
18,0,BIOE 291,0,0
0,0,BIOE 299B,0,1
0,0,BIOE 300A,64,0
35,0,BIOE 300B,0,0
0,0,BIOE 300C,0,0
21,0,BIOE 301A,0,0
0,0,BIOE 301B,18,0
0,10,BIOE 301C,0,0
0,0,BIOE 311,8,0
0,1,BIOE 313,0,0
0,1,BIOE 326B,0,0
0,14,BIOE 331,0,0
0,0,BIOE 332,0,0
0,0,BIOE 333,0,0
0,0,BIOE 334,5,0
0,4,BIOE 335,0,0
0,0,BIOE 337,6,0
0,1,BIOE 355,0,0
13,0,BIOE 361,0,0
0,0,BIOE 370,0,0
0,33,BIOE 371,0,0
0,0,BIOE 372,0,0
0,0,BIOE 374A,5,0
0,4,BIOE 374B,0,0
0,0,BIOE 375A,14,0
0,16,BIOE 375B,0,0
6,0,BIOE 376,0,0
0,0,BIOE 377,10,0
0,0,BIOE 381,0,0
0,0,BIOE 386,0,0
2,0,BIOE 390,0,0
9,7,BIOE 391,2,0
51,47,BIOE 392,42,3
52,17,BIOE 393,43,0
0,0,BIOE 450,0,0
0,0,BIOE 454,0,0
3,4,BIOE 459,4,0
0,0,BIOE 484,0,0
0,0,BIOE 485,0,0
15,22,BIOE 500,21,1
38,42,BIOE 802,41,0
39,0,CHEMENG 10,0,0
0,0,CHEMENG 12SC,0,0
0,27,CHEMENG 20,0,0
0,14,CHEMENG 25B,0,0
