grade_distributions.A-,code,grade_distributions.NC,grade_distributions.A+,grade_distributions.B,grade_distributions.C+,grade_distributions.D-,grade_distributions.A,grade_distributions.F,grade_distributions.D,grade_distributions.C-,grade_distributions.CR,grade_distributions.B+,grade_distributions.C,grade_distributions.D+,grade_distributions.B-
22,AA 100,2,20,5,0,0,39,4,0,0,16,13,1,1,3
4,AA 115N,0,1,0,0,0,19,0,1,0,1,0,0,0,0
,AA 116Q,,,,,,,,,,,,,,
1,AA 190,1,2,0,0,0,5,1,0,0,2,1,0,0,0
0,AA 199,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AA 200,1,5,4,0,0,9,0,1,0,1,4,0,0,1
,AA 201A,,,,,,,,,,,,,,
0,AA 201B,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,AA 202,,,,,,,,,,,,,,
,AA 203,,,,,,,,,,,,,,
,AA 206,,,,,,,,,,,,,,
,AA 208,,,,,,,,,,,,,,
16,AA 210A,0,10,8,0,0,23,3,0,1,1,15,1,0,2
,AA 210B,,,,,,,,,,,,,,
,AA 212,,,,,,,,,,,,,,
0,AA 214A,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,AA 214B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AA 214C,0,6,1,0,0,3,0,0,0,0,0,0,0,0
1,AA 215A,0,2,0,0,0,5,0,0,0,0,0,0,0,0
,AA 215B,,,,,,,,,,,,,,
0,AA 218,0,5,1,0,0,1,0,0,0,0,0,0,0,0
6,AA 222,1,3,1,0,0,5,0,0,0,0,1,0,0,0
,AA 228,,,,,,,,,,,,,,
,AA 229,,,,,,,,,,,,,,
3,AA 236A,0,3,0,0,0,20,0,0,0,0,0,0,0,0
0,AA 236B,0,2,0,0,0,10,0,0,0,0,1,0,0,0
0,AA 236C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,AA 240A,0,12,3,1,0,15,0,0,0,0,9,0,0,4
1,AA 240B,0,1,1,0,0,3,1,0,0,0,0,0,0,1
5,AA 241A,1,1,0,0,1,10,0,0,0,0,5,0,0,0
3,AA 241B,1,0,0,0,0,3,0,0,0,1,1,0,0,1
2,AA 241X,0,1,0,0,0,9,0,0,0,0,0,0,0,0
8,AA 242A,0,4,6,2,0,5,0,0,0,0,6,0,0,3
0,AA 242B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AA 244A,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AA 244B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,AA 250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AA 251,,,,,,,,,,,,,,
5,AA 252,0,5,1,0,0,4,0,0,0,0,0,0,0,0
2,AA 256,0,3,1,0,0,7,0,0,0,1,3,0,0,0
,AA 260,,,,,,,,,,,,,,
0,AA 270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
