"dept","totenroll","classnum","totalend","endn","personend","pn"
"AA",911,61,20,21.953896816685,11,12.0746432491767
"ACCT",1155,30,2,1.73160173160173,2,1.73160173160173
"AFRICAAM",543,75,9,16.5745856353591,7,12.8913443830571
"AFRICAST",76,30,9,118.421052631579,6,78.9473684210526
"AMSTUD",341,94,43,126.099706744868,28,82.1114369501466
"ANES",90,14,9,100,7,77.7777777777778
"ANTHRO",1002,391,31,30.938123752495,22,21.9560878243513
"APPPHYS",392,48,25,63.7755102040816,19,48.469387755102
"ARABLANG",197,40,8,40.6091370558376,6,30.4568527918782
"ARCHLGY",414,150,5,12.0772946859903,4,9.66183574879227
"ARTHIST",874,188,49,56.0640732265446,24,27.4599542334096
"ARTSTUDI",609,89,82,134.646962233169,46,75.5336617405583
"ASNAMST",38,16,1,26.3157894736842,1,26.3157894736842
"ATHLETIC",478,67,30,62.7615062761506,23,48.1171548117155
"BIO",2857,177,174,60.9030451522576,71,24.8512425621281
"BIOC",313,28,9,28.7539936102236,6,19.1693290734824
"BIOE",1336,89,98,73.3532934131736,60,44.9101796407186
"BIOHOPK",96,61,1,10.4166666666667,1,10.4166666666667
"BIOMEDIN",388,36,20,51.5463917525773,9,23.1958762886598
"BIOS",352,44,3,8.52272727272727,3,8.52272727272727
"CBIO",126,11,3,23.8095238095238,2,15.8730158730159
"CEE",3783,380,99,26.1697065820777,60,15.8604282315623
"CHEM",5053,83,106,20.9776370472986,52,10.290916287354
"CHEMENG",1428,80,27,18.9075630252101,7,4.90196078431373
"CHILATST",45,26,2,44.4444444444444,1,22.2222222222222
"CHINGEN",161,65,12,74.5341614906832,8,49.6894409937888
"CHINLANG",658,72,42,63.8297872340425,24,36.4741641337386
"CHINLIT",58,49,4,68.9655172413793,3,51.7241379310345
"CLASSICS",838,134,47,56.0859188544153,33,39.3794749403341
"CME",1820,80,141,77.4725274725275,89,48.9010989010989
"COMM",1289,138,51,39.5655546935609,30,23.2738557020946
"COMPLIT",363,152,15,41.3223140495868,13,35.8126721763085
"COMPMED",78,18,13,166.666666666667,8,102.564102564103
"CS",12363,215,1343,108.630591280434,487,39.3917333980425
"CSB",200,18,4,20,2,10
"CSRE",328,128,21,64.0243902439024,15,45.7317073170732
"CTL",92,9,9,97.8260869565217,6,65.2173913043478
"DANCE",611,54,130,212.765957446808,74,121.112929623568
"DBIO",211,14,1,4.739336492891,1,4.739336492891
"DERM",9,4,1,111.111111111111,1,111.111111111111
"DLCL",121,38,3,24.7933884297521,3,24.7933884297521
"EARTHSCI",151,19,1,6.62251655629139,1,6.62251655629139
"EARTHSYS",1172,124,62,52.901023890785,40,34.1296928327645
"EASTASN",124,19,2,16.1290322580645,2,16.1290322580645
"ECON",3360,139,216,64.2857142857143,111,33.0357142857143
"EDUC",4968,376,150,30.1932367149758,82,16.5056360708535
"EE",3975,200,260,65.4088050314465,87,21.8867924528302
"EESS",365,99,16,43.8356164383562,12,32.8767123287671
"ENERGY",858,85,22,25.6410256410256,11,12.8205128205128
"ENGLISH",1662,134,202,121.540312876053,116,69.7954271961492
"ENGR",1962,79,200,101.936799184506,116,59.1233435270133
"ENVRES",268,28,5,18.6567164179104,2,7.46268656716418
"ESF",292,17,2,6.84931506849315,2,6.84931506849315
"ETHICSOC",136,45,10,73.5294117647059,7,51.4705882352941
"FAMMED",46,16,2,43.4782608695652,2,43.4782608695652
"FEMGEN",414,122,15,36.231884057971,8,19.3236714975845
"FILMPROD",178,21,19,106.741573033708,12,67.4157303370787
"FILMSTUD",283,70,23,81.2720848056537,14,49.469964664311
"FINANCE",1575,51,7,4.44444444444444,5,3.17460317460317
"FRENCH",132,86,4,30.3030303030303,3,22.7272727272727
"FRENLANG",361,46,52,144.04432132964,39,108.03324099723
"GENE",486,50,5,10.2880658436214,5,10.2880658436214
"GEOPHYS",527,84,4,7.59013282732448,4,7.59013282732448
"GERLANG",202,37,13,64.3564356435644,10,49.5049504950495
"GERMAN",119,64,5,42.0168067226891,4,33.6134453781513
"GES",602,133,9,14.9501661129568,5,8.30564784053156
"GLOBAL",7,5,5,714.285714285714,5,714.285714285714
"GSBGEN",2936,107,29,9.87738419618529,21,7.15258855585831
"HISTORY",2611,508,282,108.004595940253,133,50.9383378016086
"HRMGT",375,9,1,2.66666666666667,1,2.66666666666667
"HRP",472,59,12,25.4237288135593,8,16.9491525423729
"HUMBIO",4328,130,290,67.0055452865065,151,34.8890942698706
"ILAC",704,150,20,28.4090909090909,12,17.0454545454545
"IMMUNOL",240,26,3,12.5,3,12.5
"INDE",1249,49,7,5.6044835868695,4,3.20256204963971
"INTNLREL",308,52,33,107.142857142857,28,90.9090909090909
"IPS",440,48,3,6.81818181818182,3,6.81818181818182
"ITALIAN",70,48,2,28.5714285714286,2,28.5714285714286
"ITALIC",248,4,1,4.03225806451613,1,4.03225806451613
"ITALLANG",121,29,11,90.9090909090909,9,74.3801652892562
"JAPANGEN",165,47,11,66.6666666666667,10,60.6060606060606
"JAPANLIT",54,37,3,55.5555555555556,2,37.037037037037
"JAPANLNG",394,47,7,17.7664974619289,3,7.61421319796954
"JEWISHST",16,76,2,125,1,62.5
"KORLANG",96,22,1,10.4166666666667,1,10.4166666666667
"LAW",6905,465,43,6.22737146994931,24,3.47574221578566
"LAWGEN",68,12,1,14.7058823529412,1,14.7058823529412
"LEAD",27,3,2,74.0740740740741,1,37.037037037037
"LINGUIST",644,161,67,104.037267080745,41,63.6645962732919
"MATH",2518,165,384,152.501985702939,184,73.0738681493249
"MATSCI",1236,73,47,38.0258899676375,20,16.1812297734628
"MCS",19,1,1,52.6315789473684,1,52.6315789473684
"ME",5039,294,342,67.8706092478666,154,30.5616193689224
"MED",1001,99,70,69.9300699300699,56,55.9440559440559
"MGTECON",911,44,10,10.9769484083425,8,8.78155872667399
"MI",117,30,3,25.6410256410256,1,8.54700854700855
"MKTG",731,30,8,10.9439124487004,4,5.4719562243502
"MS&E",4467,146,382,85.5160062681889,171,38.280725319006
"MUSIC",2207,321,199,90.1676483914816,110,49.8414136837336
"NATIVEAM",68,18,4,58.8235294117647,4,58.8235294117647
"NBIO",264,17,18,68.1818181818182,9,34.0909090909091
"NENS",141,13,2,14.1843971631206,2,14.1843971631206
"NSUR",28,9,1,35.7142857142857,1,35.7142857142857
"OB",2671,72,6,2.24634968176713,6,2.24634968176713
"OBGYN",36,10,1,27.7777777777778,1,27.7777777777778
"OIT",1516,56,6,3.95778364116095,5,3.29815303430079
"ORALCOMM",111,15,5,45.045045045045,3,27.027027027027
"ORTHO",138,17,5,36.231884057971,5,36.231884057971
"OSPBEIJ",48,23,2,41.6666666666667,2,41.6666666666667
"OSPBER",265,45,15,56.6037735849057,7,26.4150943396226
"OSPCPTWN",156,24,4,25.6410256410256,4,25.6410256410256
"OSPFLOR",195,44,2,10.2564102564103,2,10.2564102564103
"OSPKYOTO",125,22,3,24,3,24
"OSPMADRD",323,37,9,27.8637770897833,8,24.7678018575851
"OSPOXFRD",165,67,5,30.3030303030303,3,18.1818181818182
"OSPPARIS",276,64,13,47.1014492753623,8,28.9855072463768
"OSPSANTG",82,24,8,97.5609756097561,2,24.390243902439
"OUTDOOR",95,14,17,178.947368421053,13,136.842105263158
"PATH",69,16,4,57.9710144927536,4,57.9710144927536
"PE",1806,88,49,27.1317829457364,18,9.96677740863787
"PEDS",290,46,21,72.4137931034483,19,65.5172413793103
"PHIL",1390,426,134,96.4028776978417,78,56.1151079136691
"PHYSICS",7880,93,121,15.3553299492386,59,7.48730964467005
"POLECON",582,24,6,10.3092783505155,4,6.87285223367698
"POLISCI",2010,269,179,89.0547263681592,102,50.7462686567164
"PSYC",483,35,99,204.968944099379,71,146.997929606625
"PSYCH",3138,205,319,101.657106437221,160,50.9878903760357
"PUBLPOL",743,89,56,75.3701211305518,37,49.7981157469717
"PWR",1714,280,21,12.2520420070012,15,8.75145857642941
"RAD",71,20,5,70.4225352112676,5,70.4225352112676
