"course","freq","dept","mean"
"AA 100",4,"AA",28
"AA 203",2,"AA",24
"AA 228",1,"AA",30
"AA 236A",1,"AA",18
"AA 241A",3,"AA",21
"AA 241B",1,"AA",10
"AA 241X",1,"AA",28
"AA 242A",2,"AA",65
"AA 271A",1,"AA",19
"AA 283",3,"AA",57
"ACCT 213",1,"ACCT",88
"AFRICAAM 106",1,"AFRICAAM",1
"AFRICAAM 157P",1,"AFRICAAM",1
"AFRICAAM 165",1,"AFRICAAM",2
"AFRICAAM 24",1,"AFRICAAM",1
"AFRICAAM 254D",1,"AFRICAAM",1
"AFRICAAM 34",1,"AFRICAAM",185
"AFRICAST 109",3,"AFRICAST",5
"AFRICAST 135",2,"AFRICAST",13
"AFRICAST 235",1,"AFRICAST",2
"AMSTUD 101",17,"AMSTUD",22
"AMSTUD 116",4,"AMSTUD",5
"AMSTUD 121",3,"AMSTUD",8
"AMSTUD 124A",3,"AMSTUD",42
"AMSTUD 150",1,"AMSTUD",21
"AMSTUD 150A",1,"AMSTUD",8
"AMSTUD 150B",1,"AMSTUD",10
"AMSTUD 150X",1,"AMSTUD",8
"AMSTUD 152K",1,"AMSTUD",2
"AMSTUD 155C",1,"AMSTUD",1
"AMSTUD 160",1,"AMSTUD",10
"AMSTUD 161",2,"AMSTUD",7
"AMSTUD 66",3,"AMSTUD",12
"ANES 70Q",5,"ANES",7
"ANTHRO 126",2,"ANTHRO",22
"ANTHRO 133B",1,"ANTHRO",11
"ANTHRO 138B",1,"ANTHRO",6
"ANTHRO 156B",1,"ANTHRO",10
"ANTHRO 171A",1,"ANTHRO",1
"ANTHRO 176",1,"ANTHRO",24
"ANTHRO 186",1,"ANTHRO",14
"ANTHRO 204",1,"ANTHRO",2
"ANTHRO 254B",1,"ANTHRO",3
"ANTHRO 262",1,"ANTHRO",16
"ANTHRO 276",1,"ANTHRO",6
"ANTHRO 4",1,"ANTHRO",8
"ANTHRO 41",6,"ANTHRO",20
"ANTHRO 82",1,"ANTHRO",58
"ANTHRO 96",1,"ANTHRO",1
"APPPHYS 203",1,"APPPHYS",9
"APPPHYS 205",1,"APPPHYS",10
"APPPHYS 206",3,"APPPHYS",15
"APPPHYS 207",4,"APPPHYS",12
"APPPHYS 219",1,"APPPHYS",11
"APPPHYS 272",1,"APPPHYS",16
"APPPHYS 293",9,"APPPHYS",41
"ARABLANG 1",5,"ARABLANG",31
"ARABLANG 1H",1,"ARABLANG",2
"ARABLANG 3",1,"ARABLANG",23
"ARCHLGY 102",1,"ARCHLGY",4
"ARCHLGY 102",1,"ARCHLGY",4
"ARCHLGY 118",2,"ARCHLGY",12
"ARCHLGY 118",2,"ARCHLGY",12
"ARCHLGY 151",1,"ARCHLGY",87
"ARCHLGY 151",1,"ARCHLGY",87
"ARTHIST 101",1,"ARTHIST",5
"ARTHIST 105B",6,"ARTHIST",20
"ARTHIST 109",2,"ARTHIST",10
"ARTHIST 118N",2,"ARTHIST",1
"ARTHIST 120",1,"ARTHIST",7
"ARTHIST 147",4,"ARTHIST",38
"ARTHIST 152",1,"ARTHIST",12
"ARTHIST 155C",2,"ARTHIST",150
"ARTHIST 160",2,"ARTHIST",44
"ARTHIST 164A",1,"ARTHIST",25
"ARTHIST 166",3,"ARTHIST",58
"ARTHIST 189C",1,"ARTHIST",3
"ARTHIST 1A",3,"ARTHIST",36
"ARTHIST 1B",2,"ARTHIST",178
"ARTHIST 212",1,"ARTHIST",3
"ARTHIST 217B",1,"ARTHIST",3
"ARTHIST 295",1,"ARTHIST",1
"ARTHIST 296",1,"ARTHIST",8
"ARTHIST 297",1,"ARTHIST",1
"ARTHIST 3",3,"ARTHIST",27
"ARTHIST 347",3,"ARTHIST",3
